ConsecutivoOP,ConsecPedido,Cliente,Producto,NombProducto,OCCliente,Actividad,RecMAQ,RecHOM,SecAct,FechEstInicil,estado,TipoConsecutivo,Fecha de visita,Empresa,Planta,Pa铆s,Ciudad,Tipo de equipo,Pedido N掳,Material,Causa de desgaste,"Si escogi贸 otros, cu谩l?",Escoja el desgaste donde se presenta,Tipo de cadena,Referencia cadena,Medida referencia de control desgaste nueva en mm (CADENA),Medida referencia control de desgaste actual en mm (CADENA),Porcentaje de elongaci贸n actual % (CADENA),Porcentaje de elongaci贸n m谩x % (CADENA),Proyecci贸n en horas de operaci贸n restantes (H) (CADENA),Medida sin desgaste en mm (BUJE),Medida actual en mm1 (BUJE),Porcentaje de desgaste actual % (BUJE),Medida sin desgaste en mm1 (PASADOR),Medida actual en mm (PASADOR),Porcentaje de desgaste actual % (PASADOR),Medida sin desgaste en mm2 (RODILLO),Medida actual en mm2 (RODILLO),Porcentaje de desgaste actual % (RODILLO),Altura de la platina en mm,Medida actual de la platina en mm (PLATINA),Porcentaje de desgaste actual % (PLATINA),Paso en mm,Cantidad de pasos,Falla,Valor
68006,27587,CAP821208LQ3,PD0001788D,PASADOR 44.45X41.15X198.7 PERF,8400004593,CORT,MEGAS,CORTAR,1,01/06/2022 00:00,FI,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitaci贸n seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,,,,,,,,,40.4,39.9,1.25,,,,,,,,,Desgaste,1.25
67131,27380,860009808,30321162,CDNA FB 311-TK1-C2-P250,E-MAIL 02/11/2021,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,8,11/04/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,250,251.17,0.47,2,34000,,,,,,,,,,,,,,,Elongaci髇,0.47
74456,28914,CAP821208LQ3,30392656,CDNA FB TRANS AU8076-C5-P250,8400005086,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,8,1/25/2023 0:00,FI,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,28914,CLINKER,Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,326,326.6,0.18,1.6,,,,,,,,,,,,,,,,Elongaci髇,0.18
67742,27553,900484906,PD0001998-1H,RODILLO 脴E76.2X脴I32.35X37.7  ,"3300292911,,",CORT,MEGAS,CORTAR,1,12/21/2021 0:00,FI,FBORP,9/23/2022,MANUELITA,PALMAR DE ALTAMIRA,COLOMBIA,CALI,Reclamador y apilador,27553,CA脩A,Desalineaci贸n;Elongaci贸n prematura;Otros;Falta de lubricaci贸n;Ruptura,PITTING,Platina Interna;Rodillo;Pasador cadena,"CDNA FB2198-C6-P6""",FB2198,,,,,,,,,,,,76.5,74,3.38,,,,,,Desgaste,3.38
65004,26425,860009808,30321162E,BUJE 脴E50X脴I32.55X74.05 EC,4530309439,GRAN,GRANALLADORA,MECANIZADO,5,5/20/2021 0:00,FI,FBORP,4/28/2022,HOLCIM,NOBSA,COLOMBIA,BOYACA,Reclamador y apilador,26425,PIEDRA CALIZA,Elongaci贸n prematura;Otros,COLISI脫N CON GU脥AS,Platina Interna;Platina Externa;Rodillo,CDNA FB 311-TK1-C2-P250,FB425,,,,,,100.05,97.75,2.3,,,,,,,,,,,,Desgaste,2.3
76787,29830,4.31E+12,PD0002567,CDNA FB 833-K2-C3-P6,4522821655,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,8,5/30/2023 0:00,FI,FBORP,05/11/2023,CEMEX,CALZADA LARGA,PANAM脕,CAIMITILLO,Elevador cangilones,29830,COMBUSTIBLES ALTERNOS,Velocidad incorrecta;Desalineaci贸n,,Pasador cadena,CDNA FB 833-K2-C3-P6,FB 833,152.4,156.6,0.45,2.5,6240,,,,,,,,,,,,,,,Elongaci髇,0.45
67132,27380,860009808,30321162A,PTNA INT 9.5X78X349,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,11/04/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
77791,30028,CAP821208LQ3,30607413A,BUJE 脴E58.05X脴I37.0X112,8400005586,CORT,MEGAS,CORTAR,1,8/16/2023 0:00,FI,FBORP,5/20/2024,HOLCIM,MERIDA,MEXICO,MERIDA,Elevador cangilones,30028,CLINKER,Otros,FALTA DE COMPONENTE (ARANDELAS TOPE),Pasador cadena,CDNA ELEVADOR FB AU06.3 C2 P7,FB AU06.3,,,,,,58,57.85,0.26,,,,,,,,,,,,Desgaste,0.26
67733,27553,900484906,PD0001998-1,"CDNA FB 2198 C6 P6""","3300292911,,",EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,9,12/21/2021 0:00,FI,FBORP,9/23/2022,MANUELITA,PALMAR DE ALTAMIRA,COLOMBIA,CALI,Reclamador y apilador,27553,CA脩A,Desalineaci贸n;Elongaci贸n prematura;Otros;Falta de lubricaci贸n;Ruptura,PITTING,Platina Interna;Rodillo;Pasador cadena,"CDNA FB2198-C6-P6""",FB2198,457.2,460,0.61,2,,,,,,,,,,,,,,,,Elongaci髇,0.61
78008,30020,CAP821208LQ3,30391261D,BUJE 脴E63.5X脴I35.6X140.5 EC,8400005594,CORT,MEGAS,CORTAR,1,09/07/2023 00:00,FI,FBORP,03/10/2023,HOLCIM,TECOM脕N,MEXICO,COLIMA,Elevador cangilones,30020,CEMENTO,Cavitaci贸n seca,,Buje cadena,"CDNA ELEVADOR FB 984-K443-C2-P7""",FB 984,,,,,,63.5,63.2,0.47,,,,,,,,,,,,Desgaste,0.47
